"export-plot data (NetLogo 6.4.0)"
"livecoding_model_week_3_simplified_initial.nlogo"
"01/22/2024 15:55:33:260 +0000"

"MODEL SETTINGS"



"""Wealth of Robber vs Others"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","456","0","33","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","44","419"
"""pen-1""","true","0","1","104","419"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","5.105263157894737","44","true","0","1","104","true"
"1","5.105263157894737","44","true","1","1","104","true"
"2","4.578947368421052","44","true","2","11","104","true"
"3","4.578947368421052","44","true","3","11","104","true"
"4","4.578947368421052","44","true","4","11","104","true"
"5","4.578947368421052","44","true","5","11","104","true"
"6","4.578947368421052","44","true","6","11","104","true"
"7","4.578947368421052","44","true","7","11","104","true"
"8","4.578947368421052","44","true","8","11","104","true"
"9","4.578947368421052","44","true","9","11","104","true"
"10","4.578947368421052","44","true","10","11","104","true"
"11","4.578947368421052","44","true","11","11","104","true"
"12","4.578947368421052","44","true","12","11","104","true"
"13","4.578947368421052","44","true","13","11","104","true"
"14","4.578947368421052","44","true","14","11","104","true"
"15","4.578947368421052","44","true","15","11","104","true"
"16","4.578947368421052","44","true","16","11","104","true"
"17","4.578947368421052","44","true","17","11","104","true"
"18","4.578947368421052","44","true","18","11","104","true"
"19","4.578947368421052","44","true","19","11","104","true"
"20","4.578947368421052","44","true","20","11","104","true"
"21","4.578947368421052","44","true","21","11","104","true"
"22","4.578947368421052","44","true","22","11","104","true"
"23","4.578947368421052","44","true","23","11","104","true"
"24","4.578947368421052","44","true","24","11","104","true"
"25","4.578947368421052","44","true","25","11","104","true"
"26","4.578947368421052","44","true","26","11","104","true"
"27","4.578947368421052","44","true","27","11","104","true"
"28","4.578947368421052","44","true","28","11","104","true"
"29","4.578947368421052","44","true","29","11","104","true"
"30","4.578947368421052","44","true","30","11","104","true"
"31","4.578947368421052","44","true","31","11","104","true"
"32","4.578947368421052","44","true","32","11","104","true"
"33","4.578947368421052","44","true","33","11","104","true"
"34","4.578947368421052","44","true","34","11","104","true"
"35","4.578947368421052","44","true","35","11","104","true"
"36","4.578947368421052","44","true","36","11","104","true"
"37","4.578947368421052","44","true","37","11","104","true"
"38","4.578947368421052","44","true","38","11","104","true"
"39","4.578947368421052","44","true","39","11","104","true"
"40","4.578947368421052","44","true","40","11","104","true"
"41","4.578947368421052","44","true","41","11","104","true"
"42","4.578947368421052","44","true","42","11","104","true"
"43","4.578947368421052","44","true","43","11","104","true"
"44","4.578947368421052","44","true","44","11","104","true"
"45","4.578947368421052","44","true","45","11","104","true"
"46","4.578947368421052","44","true","46","11","104","true"
"47","4.578947368421052","44","true","47","11","104","true"
"48","4.578947368421052","44","true","48","11","104","true"
"49","4.578947368421052","44","true","49","11","104","true"
"50","4.578947368421052","44","true","50","11","104","true"
"51","4.578947368421052","44","true","51","11","104","true"
"52","4.578947368421052","44","true","52","11","104","true"
"53","4.578947368421052","44","true","53","11","104","true"
"54","4.578947368421052","44","true","54","11","104","true"
"55","4.578947368421052","44","true","55","11","104","true"
"56","4.578947368421052","44","true","56","11","104","true"
"57","4.578947368421052","44","true","57","11","104","true"
"58","4.578947368421052","44","true","58","11","104","true"
"59","4.578947368421052","44","true","59","11","104","true"
"60","4.578947368421052","44","true","60","11","104","true"
"61","4.578947368421052","44","true","61","11","104","true"
"62","4.578947368421052","44","true","62","11","104","true"
"63","4.578947368421052","44","true","63","11","104","true"
"64","4.578947368421052","44","true","64","11","104","true"
"65","4.578947368421052","44","true","65","11","104","true"
"66","4.578947368421052","44","true","66","11","104","true"
"67","4.578947368421052","44","true","67","11","104","true"
"68","4.578947368421052","44","true","68","11","104","true"
"69","4.578947368421052","44","true","69","11","104","true"
"70","4.578947368421052","44","true","70","11","104","true"
"71","4.578947368421052","44","true","71","11","104","true"
"72","4.578947368421052","44","true","72","11","104","true"
"73","4.578947368421052","44","true","73","11","104","true"
"74","4.578947368421052","44","true","74","11","104","true"
"75","4.578947368421052","44","true","75","11","104","true"
"76","4.578947368421052","44","true","76","11","104","true"
"77","4.578947368421052","44","true","77","11","104","true"
"78","4.578947368421052","44","true","78","11","104","true"
"79","4.578947368421052","44","true","79","11","104","true"
"80","4.578947368421052","44","true","80","11","104","true"
"81","4.578947368421052","44","true","81","11","104","true"
"82","4.578947368421052","44","true","82","11","104","true"
"83","4.578947368421052","44","true","83","11","104","true"
"84","4.578947368421052","44","true","84","11","104","true"
"85","4.578947368421052","44","true","85","11","104","true"
"86","4.578947368421052","44","true","86","11","104","true"
"87","4.578947368421052","44","true","87","11","104","true"
"88","4.578947368421052","44","true","88","11","104","true"
"89","4.578947368421052","44","true","89","11","104","true"
"90","4.578947368421052","44","true","90","11","104","true"
"91","4.578947368421052","44","true","91","11","104","true"
"92","4.578947368421052","44","true","92","11","104","true"
"93","4.578947368421052","44","true","93","11","104","true"
"94","4.578947368421052","44","true","94","11","104","true"
"95","4.578947368421052","44","true","95","11","104","true"
"96","4.578947368421052","44","true","96","11","104","true"
"97","4.578947368421052","44","true","97","11","104","true"
"98","4.578947368421052","44","true","98","11","104","true"
"99","4.578947368421052","44","true","99","11","104","true"
"100","4.578947368421052","44","true","100","11","104","true"
"101","4.2105263157894735","44","true","101","18","104","true"
"102","4.2105263157894735","44","true","102","18","104","true"
"103","4.2105263157894735","44","true","103","18","104","true"
"104","4.2105263157894735","44","true","104","18","104","true"
"105","4.2105263157894735","44","true","105","18","104","true"
"106","4.2105263157894735","44","true","106","18","104","true"
"107","4.2105263157894735","44","true","107","18","104","true"
"108","4.2105263157894735","44","true","108","18","104","true"
"109","4.2105263157894735","44","true","109","18","104","true"
"110","4.2105263157894735","44","true","110","18","104","true"
"111","4.2105263157894735","44","true","111","18","104","true"
"112","4.2105263157894735","44","true","112","18","104","true"
"113","4.2105263157894735","44","true","113","18","104","true"
"114","4.2105263157894735","44","true","114","18","104","true"
"115","4.2105263157894735","44","true","115","18","104","true"
"116","4.2105263157894735","44","true","116","18","104","true"
"117","4.2105263157894735","44","true","117","18","104","true"
"118","4","44","true","118","22","104","true"
"119","4","44","true","119","22","104","true"
"120","4","44","true","120","22","104","true"
"121","4","44","true","121","22","104","true"
"122","3.8421052631578947","44","true","122","25","104","true"
"123","3.8421052631578947","44","true","123","25","104","true"
"124","3.8421052631578947","44","true","124","25","104","true"
"125","3.8421052631578947","44","true","125","25","104","true"
"126","3.8421052631578947","44","true","126","25","104","true"
"127","3.8421052631578947","44","true","127","25","104","true"
"128","3.8421052631578947","44","true","128","25","104","true"
"129","3.8421052631578947","44","true","129","25","104","true"
"130","3.8421052631578947","44","true","130","25","104","true"
"131","3.8421052631578947","44","true","131","25","104","true"
"132","3.8421052631578947","44","true","132","25","104","true"
"133","3.8421052631578947","44","true","133","25","104","true"
"134","3.8421052631578947","44","true","134","25","104","true"
"135","3.8421052631578947","44","true","135","25","104","true"
"136","3.8421052631578947","44","true","136","25","104","true"
"137","3.8421052631578947","44","true","137","25","104","true"
"138","3.8421052631578947","44","true","138","25","104","true"
"139","3.8421052631578947","44","true","139","25","104","true"
"140","3.5789473684210527","44","true","140","30","104","true"
"141","3.5789473684210527","44","true","141","30","104","true"
"142","3.5789473684210527","44","true","142","30","104","true"
"143","3.5789473684210527","44","true","143","30","104","true"
"144","3.5789473684210527","44","true","144","30","104","true"
"145","3.5789473684210527","44","true","145","30","104","true"
"146","3.5789473684210527","44","true","146","30","104","true"
"147","3.5789473684210527","44","true","147","30","104","true"
"148","3.5789473684210527","44","true","148","30","104","true"
"149","3.5789473684210527","44","true","149","30","104","true"
"150","3.5789473684210527","44","true","150","30","104","true"
"151","3.5789473684210527","44","true","151","30","104","true"
"152","3.5789473684210527","44","true","152","30","104","true"
"153","3.5789473684210527","44","true","153","30","104","true"
"154","3.5789473684210527","44","true","154","30","104","true"
"155","3.5789473684210527","44","true","155","30","104","true"
"156","3.5789473684210527","44","true","156","30","104","true"
"157","3.5789473684210527","44","true","157","30","104","true"
"158","3.5789473684210527","44","true","158","30","104","true"
"159","3.5789473684210527","44","true","159","30","104","true"
"160","3.5789473684210527","44","true","160","30","104","true"
"161","3.5789473684210527","44","true","161","30","104","true"
"162","3.5789473684210527","44","true","162","30","104","true"
"163","3.5789473684210527","44","true","163","30","104","true"
"164","3.5789473684210527","44","true","164","30","104","true"
"165","3.5789473684210527","44","true","165","30","104","true"
"166","3.5789473684210527","44","true","166","30","104","true"
"167","3.5789473684210527","44","true","167","30","104","true"
"168","3.5789473684210527","44","true","168","30","104","true"
"169","3.5789473684210527","44","true","169","30","104","true"
"170","3.5789473684210527","44","true","170","30","104","true"
"171","3.5789473684210527","44","true","171","30","104","true"
"172","3.5789473684210527","44","true","172","30","104","true"
"173","3.5789473684210527","44","true","173","30","104","true"
"174","3.5789473684210527","44","true","174","30","104","true"
"175","3.5789473684210527","44","true","175","30","104","true"
"176","3.5789473684210527","44","true","176","30","104","true"
"177","3.5789473684210527","44","true","177","30","104","true"
"178","3.5789473684210527","44","true","178","30","104","true"
"179","3.5789473684210527","44","true","179","30","104","true"
"180","3.5789473684210527","44","true","180","30","104","true"
"181","3.5789473684210527","44","true","181","30","104","true"
"182","3.5789473684210527","44","true","182","30","104","true"
"183","3.5789473684210527","44","true","183","30","104","true"
"184","3.5789473684210527","44","true","184","30","104","true"
"185","3.5789473684210527","44","true","185","30","104","true"
"186","3.5789473684210527","44","true","186","30","104","true"
"187","3.5789473684210527","44","true","187","30","104","true"
"188","3.5789473684210527","44","true","188","30","104","true"
"189","3.5789473684210527","44","true","189","30","104","true"
