"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"tutorial_4_lv3.nlogo"
"experiment"
"02/05/2024 15:29:38:425 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"[run number]","offspring_threshold","grow_back_rate","max_food_consumed","[step]","count turtles"
"7","2","1","5","200","116"
"8","2","1","5","200","155"
"3","2","1","5","200","222"
"10","2","1","5","200","136"
"9","2","1","5","200","163"
"6","2","1","5","200","99"
"11","2","1","6","200","210"
"4","2","1","5","200","169"
"5","2","1","5","200","147"
"1","2","1","5","200","167"
"2","2","1","5","200","176"
"12","2","1","6","200","185"
"13","2","1","6","200","194"
"15","2","1","6","200","225"
"14","2","1","6","200","262"
"20","2","1","6","200","155"
"16","2","1","6","200","186"
"21","2","1","7","200","298"
"22","2","1","7","200","187"
"17","2","1","6","200","178"
"18","2","1","6","200","135"
"24","2","1","7","200","347"
"26","2","1","7","200","306"
"27","2","1","7","200","292"
"23","2","1","7","200","275"
"19","2","1","6","200","172"
"25","2","1","7","200","281"
"28","2","1","7","200","243"
"30","2","1","7","200","395"
"29","2","1","7","200","242"
"31","2","1","8","200","341"
"32","2","1","8","200","372"
"33","2","1","8","200","348"
"35","2","1","8","200","287"
"37","2","1","8","200","422"
"39","2","1","8","200","341"
"40","2","1","8","200","381"
"38","2","1","8","200","198"
"36","2","1","8","200","346"
"34","2","1","8","200","327"
"44","2","1","9","200","387"
"43","2","1","9","200","443"
"45","2","1","9","200","378"
"41","2","1","9","200","338"
"42","2","1","9","200","343"
"46","2","1","9","200","355"
"50","2","1","9","200","411"
"51","2","1","10","200","379"
"47","2","1","9","200","455"
"49","2","1","9","200","464"
"52","2","1","10","200","353"
"53","2","1","10","200","474"
"54","2","1","10","200","491"
"56","2","1","10","200","359"
"58","2","1","10","200","404"
"55","2","1","10","200","471"
"48","2","1","9","200","395"
"57","2","1","10","200","420"
"59","2","1","10","200","430"
"62","2","1","11","200","440"
"63","2","1","11","200","371"
"64","2","1","11","200","427"
"60","2","1","10","200","453"
"61","2","1","11","200","484"
"68","2","1","11","200","458"
"66","2","1","11","200","462"
"67","2","1","11","200","475"
"70","2","1","11","200","443"
"69","2","1","11","200","497"
"71","2","1","12","200","499"
"65","2","1","11","200","329"
"73","2","1","12","200","422"
"72","2","1","12","200","532"
"76","2","1","12","200","466"
"77","2","1","12","200","528"
"74","2","1","12","200","373"
"75","2","1","12","200","459"
"78","2","1","12","200","570"
"80","2","1","12","200","473"
"82","2","1","13","200","545"
"79","2","1","12","200","446"
"83","2","1","13","200","557"
"84","2","1","13","200","473"
"85","2","1","13","200","505"
"81","2","1","13","200","500"
"87","2","1","13","200","447"
"86","2","1","13","200","406"
"88","2","1","13","200","545"
"90","2","1","13","200","524"
"91","2","1","14","200","555"
"92","2","1","14","200","551"
"93","2","1","14","200","486"
"94","2","1","14","200","484"
"89","2","1","13","200","478"
"96","2","1","14","200","539"
"95","2","1","14","200","609"
"97","2","1","14","200","511"
"101","2","1","15","200","547"
"99","2","1","14","200","552"
"98","2","1","14","200","535"
"103","2","1","15","200","576"
"100","2","1","14","200","490"
"105","2","1","15","200","556"
"104","2","1","15","200","439"
"106","2","1","15","200","509"
"111","2","2","5","200","133"
"109","2","1","15","200","571"
"112","2","2","5","200","149"
"102","2","1","15","200","552"
"107","2","1","15","200","583"
"108","2","1","15","200","537"
"113","2","2","5","200","130"
"114","2","2","5","200","166"
"110","2","1","15","200","562"
"115","2","2","5","200","139"
"120","2","2","5","200","161"
"116","2","2","5","200","186"
"119","2","2","5","200","132"
"121","2","2","6","200","352"
"118","2","2","5","200","121"
"123","2","2","6","200","172"
"122","2","2","6","200","294"
"124","2","2","6","200","285"
"117","2","2","5","200","146"
"125","2","2","6","200","226"
"127","2","2","6","200","203"
"126","2","2","6","200","286"
"129","2","2","6","200","229"
"128","2","2","6","200","316"
"131","2","2","7","200","301"
"130","2","2","6","200","269"
"133","2","2","7","200","241"
"134","2","2","7","200","407"
"135","2","2","7","200","220"
"137","2","2","7","200","309"
"132","2","2","7","200","261"
"138","2","2","7","200","312"
"136","2","2","7","200","233"
"139","2","2","7","200","233"
"140","2","2","7","200","300"
"141","2","2","8","200","469"
"142","2","2","8","200","409"
"145","2","2","8","200","322"
"143","2","2","8","200","452"
"146","2","2","8","200","507"
"147","2","2","8","200","348"
"149","2","2","8","200","563"
"148","2","2","8","200","477"
"144","2","2","8","200","424"
"150","2","2","8","200","440"
"151","2","2","9","200","358"
"153","2","2","9","200","344"
"154","2","2","9","200","258"
"155","2","2","9","200","561"
"152","2","2","9","200","495"
"156","2","2","9","200","414"
"158","2","2","9","200","414"
"159","2","2","9","200","545"
"157","2","2","9","200","341"
"160","2","2","9","200","338"
"162","2","2","10","200","658"
"161","2","2","10","200","665"
"164","2","2","10","200","642"
"163","2","2","10","200","648"
"166","2","2","10","200","628"
"165","2","2","10","200","611"
"169","2","2","10","200","666"
"167","2","2","10","200","651"
"173","2","2","11","200","504"
"168","2","2","10","200","688"
"174","2","2","11","200","494"
"172","2","2","11","200","563"
"171","2","2","11","200","502"
"170","2","2","10","200","627"
"177","2","2","11","200","413"
"175","2","2","11","200","569"
"179","2","2","11","200","502"
"178","2","2","11","200","405"
"180","2","2","11","200","584"
"181","2","2","12","200","788"
"182","2","2","12","200","884"
"183","2","2","12","200","684"
"176","2","2","11","200","583"
"184","2","2","12","200","748"
"185","2","2","12","200","750"
"186","2","2","12","200","768"
"188","2","2","12","200","781"
"190","2","2","12","200","708"
"187","2","2","12","200","742"
"192","2","2","13","200","748"
"193","2","2","13","200","671"
"189","2","2","12","200","651"
"196","2","2","13","200","651"
"191","2","2","13","200","668"
