"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Fireflies_edit.nlogo"
"sync_time"
"02/05/2024 16:34:19:720 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","cycle-length","flash-length","[step]","sync_time"
"2","5","1","241","242"
"5","5","1","267","268"
"7","5","2","342","343"
"4","5","1","324","325"
"3","5","1","339","340"
"1","5","1","385","386"
"8","5","2","546","547"
"6","5","2","583","584"
"9","5","2","326","327"
"10","5","2","387","388"
"11","5","3","2000","-1"
"12","5","3","2000","-1"
"13","5","3","2000","-1"
"21","5","5","0","1"
"22","5","5","0","1"
"23","5","5","0","1"
"16","5","4","2000","-1"
"24","5","5","0","1"
"25","5","5","0","1"
"17","5","4","2000","-1"
"15","5","3","2000","-1"
"18","5","4","2000","-1"
"14","5","3","2000","-1"
"26","6","1","404","405"
"28","6","1","387","388"
"29","6","1","325","326"
"31","6","2","345","346"
"27","6","1","498","499"
"32","6","2","247","248"
"33","6","2","258","259"
"30","6","1","521","522"
"34","6","2","277","278"
"35","6","2","296","297"
"19","5","4","2000","-1"
"20","5","4","2000","-1"
"36","6","3","675","676"
"37","6","3","1179","1180"
"40","6","3","1535","1536"
"42","6","4","2000","-1"
"43","6","4","2000","-1"
"41","6","4","2000","-1"
"38","6","3","2000","-1"
"39","6","3","1969","1970"
"44","6","4","2000","-1"
"51","7","1","512","513"
"47","6","5","2000","-1"
"48","6","5","2000","-1"
"45","6","4","2000","-1"
"46","6","5","2000","-1"
"52","7","1","463","464"
"56","7","2","286","287"
"55","7","1","456","457"
"49","6","5","2000","-1"
"54","7","1","540","541"
"58","7","2","272","273"
"53","7","1","456","457"
"57","7","2","386","387"
"59","7","2","272","273"
"50","6","5","2000","-1"
"60","7","2","380","381"
"62","7","3","488","489"
"61","7","3","467","468"
"65","7","3","438","439"
"64","7","3","511","512"
"63","7","3","622","623"
"68","7","4","2000","-1"
"66","7","4","2000","-1"
"69","7","4","2000","-1"
"67","7","4","2000","-1"
"71","7","5","2000","-1"
"70","7","4","2000","-1"
"72","7","5","2000","-1"
"73","7","5","2000","-1"
"78","8","1","381","382"
"76","8","1","617","618"
"81","8","2","342","343"
"79","8","1","568","569"
"80","8","1","512","513"
"83","8","2","309","310"
"82","8","2","317","318"
"77","8","1","745","746"
"84","8","2","293","294"
"85","8","2","325","326"
"87","8","3","408","409"
"74","7","5","2000","-1"
"86","8","3","391","392"
"88","8","3","432","433"
"89","8","3","431","432"
"75","7","5","2000","-1"
"90","8","3","440","441"
"92","8","4","2000","-1"
"93","8","4","2000","-1"
"91","8","4","2000","-1"
"95","8","4","2000","-1"
"97","8","5","2000","-1"
"96","8","5","2000","-1"
"94","8","4","2000","-1"
"98","8","5","2000","-1"
"101","9","1","474","475"
"105","9","1","437","438"
"106","9","2","392","393"
"107","9","2","356","357"
"104","9","1","601","602"
"103","9","1","813","814"
"100","8","5","2000","-1"
"108","9","2","347","348"
"99","8","5","2000","-1"
"110","9","2","374","375"
"111","9","3","374","375"
"109","9","2","402","403"
"102","9","1","1207","1208"
"112","9","3","474","475"
"115","9","3","338","339"
"114","9","3","329","330"
"113","9","3","510","511"
"116","9","4","576","577"
"118","9","4","740","741"
"117","9","4","879","880"
"120","9","4","842","843"
"119","9","4","887","888"
"126","10","1","595","596"
"128","10","1","647","648"
"121","9","5","2000","-1"
"127","10","1","798","799"
"123","9","5","2000","-1"
"122","9","5","2000","-1"
"131","10","2","495","496"
"133","10","2","354","355"
"124","9","5","2000","-1"
"132","10","2","557","558"
"129","10","1","708","709"
"135","10","2","404","405"
"136","10","3","343","344"
"134","10","2","354","355"
"130","10","1","849","850"
"137","10","3","404","405"
"125","9","5","2000","-1"
"138","10","3","363","364"
"140","10","3","354","355"
"139","10","3","403","404"
"141","10","4","617","618"
"142","10","4","496","497"
"144","10","4","597","598"
"143","10","4","638","639"
"145","10","4","667","668"
"151","11","1","688","689"
"152","11","1","699","700"
"153","11","1","732","733"
"147","10","5","2000","-1"
"146","10","5","2000","-1"
"149","10","5","2000","-1"
"157","11","2","433","434"
"154","11","1","811","812"
"148","10","5","2000","-1"
"156","11","2","476","477"
"158","11","2","344","345"
"150","10","5","2000","-1"
"159","11","2","575","576"
"160","11","2","455","456"
"161","11","3","389","390"
"163","11","3","399","400"
"162","11","3","444","445"
"164","11","3","400","401"
"155","11","1","1283","1284"
"166","11","4","433","434"
"165","11","3","454","455"
"167","11","4","477","478"
"169","11","4","387","388"
"168","11","4","510","511"
"171","11","5","579","580"
"170","11","4","566","567"
"175","11","5","612","613"
"172","11","5","855","856"
"174","11","5","866","867"
"177","12","1","736","737"
"178","12","1","727","728"
"173","11","5","1521","1522"
"181","12","2","519","520"
"176","12","1","894","895"
"180","12","1","919","920"
"182","12","2","447","448"
"179","12","1","894","895"
"186","12","3","384","385"
"183","12","2","616","617"
"185","12","2","509","510"
"184","12","2","578","579"
"188","12","3","423","424"
"187","12","3","495","496"
"190","12","3","350","351"
"189","12","3","495","496"
"192","12","4","410","411"
"191","12","4","446","447"
"195","12","4","421","422"
"193","12","4","676","677"
"194","12","4","554","555"
"200","12","5","544","545"
"199","12","5","639","640"
"196","12","5","831","832"
"197","12","5","808","809"
"198","12","5","891","892"
"202","13","1","816","817"
"201","13","1","994","995"
"207","13","2","535","536"
"209","13","2","419","420"
"203","13","1","995","996"
"206","13","2","638","639"
"210","13","2","562","563"
"204","13","1","956","957"
"208","13","2","587","588"
"205","13","1","1020","1021"
"212","13","3","495","496"
"215","13","3","417","418"
"213","13","3","548","549"
"211","13","3","533","534"
"214","13","3","457","458"
"219","13","4","508","509"
"220","13","4","598","599"
"217","13","4","522","523"
"216","13","4","650","651"
"218","13","4","804","805"
"221","13","5","613","614"
"222","13","5","533","534"
"223","13","5","664","665"
"224","13","5","832","833"
"225","13","5","962","963"
"227","14","1","915","916"
"232","14","2","563","564"
"226","14","1","974","975"
"233","14","2","591","592"
"229","14","1","958","959"
"231","14","2","954","955"
"235","14","2","534","535"
"228","14","1","1282","1283"
"230","14","1","1293","1294"
"234","14","2","647","648"
"237","14","3","547","548"
"236","14","3","559","560"
"238","14","3","533","534"
"239","14","3","478","479"
"240","14","3","657","658"
"242","14","4","531","532"
"243","14","4","517","518"
"245","14","4","574","575"
"241","14","4","630","631"
"244","14","4","713","714"
"246","14","5","671","672"
"248","14","5","601","602"
"250","14","5","546","547"
"247","14","5","1005","1006"
"251","15","1","936","937"
"256","15","2","631","632"
"254","15","1","1116","1117"
"253","15","1","1281","1282"
"249","14","5","1476","1477"
"252","15","1","1163","1164"
"257","15","2","706","707"
"255","15","1","1161","1162"
"259","15","2","528","529"
"260","15","2","511","512"
"261","15","3","615","616"
"262","15","3","602","603"
"265","15","3","554","555"
"264","15","3","661","662"
"263","15","3","658","659"
"258","15","2","1051","1052"
"266","15","4","643","644"
"267","15","4","599","600"
"268","15","4","777","778"
"270","15","4","628","629"
"269","15","4","733","734"
"272","15","5","689","690"
"271","15","5","867","868"
"273","15","5","776","777"
"274","15","5","750","751"
"275","15","5","689","690"
"281","16","2","706","707"
"282","16","2","883","884"
"277","16","1","1367","1368"
"278","16","1","1237","1238"
"276","16","1","1602","1603"
"283","16","2","1043","1044"
"279","16","1","1397","1398"
"286","16","3","639","640"
"289","16","3","496","497"
"288","16","3","609","610"
"280","16","1","1523","1524"
"285","16","2","788","789"
"284","16","2","1025","1026"
"287","16","3","751","752"
"293","16","4","655","656"
"292","16","4","606","607"
"290","16","3","736","737"
"294","16","4","684","685"
"291","16","4","923","924"
"295","16","4","733","734"
"297","16","5","781","782"
"296","16","5","845","846"
"298","16","5","685","686"
"299","16","5","781","782"
"300","16","5","921","922"
"306","17","2","801","802"
"302","17","1","1231","1232"
"303","17","1","1077","1078"
"301","17","1","1297","1298"
"307","17","2","888","889"
"308","17","2","785","786"
"311","17","3","544","545"
"309","17","2","733","734"
"305","17","1","1453","1454"
"310","17","2","716","717"
"312","17","3","594","595"
"304","17","1","1756","1757"
"313","17","3","679","680"
"314","17","3","677","678"
"316","17","4","813","814"
"315","17","3","746","747"
"318","17","4","846","847"
"319","17","4","677","678"
"320","17","4","576","577"
"317","17","4","842","843"
"321","17","5","879","880"
"322","17","5","694","695"
"324","17","5","777","778"
"323","17","5","980","981"
"325","17","5","963","964"
"332","18","2","741","742"
"333","18","2","721","722"
"327","18","1","1536","1537"
"331","18","2","1045","1046"
"330","18","1","1194","1195"
"326","18","1","1609","1610"
"334","18","2","866","867"
"328","18","1","1962","1963"
"329","18","1","1839","1840"
"335","18","2","901","902"
"338","18","3","612","613"
"336","18","3","807","808"
"337","18","3","950","951"
"339","18","3","915","916"
"342","18","4","664","665"
"340","18","3","773","774"
"341","18","4","682","683"
"343","18","4","733","734"
"345","18","4","680","681"
"346","18","5","627","628"
"344","18","4","949","950"
